"10,Heat Transfer,熱伝導・対流・放射：加熱機器の物理特性と「火入れ」の最適解,全ての料理人。オーブン、フライパン、炭火の使い分け。,火の発見と調理 / 伝熱工学の基礎（フーリエの法則）,熱伝達の3形態概念図 / 境界層（Boundary Layer）の破壊モデル,材質別熱伝導率リスト（銅＞アルミ＞鉄＞ステンレス） / 放射率チャート,Protocol: 鉄フライパンの予熱確認法（ライデンフロスト効果） / コンベクションオーブンの風量調整"
"11,Preservation,酵素的褐変の抑制：リンゴやアボカドが黒くなるのを防ぐ生化学,前菜担当、パティシエ。フルーツの変色防止。,ポリフェノールオキシダーゼ（PPO）の役割 / 植物の防御反応,酵素反応の鍵と鍵穴モデル（基質＋酵素＋酸素）,pH vs酵素活性グラフ / 温度・塩分による失活カーブ,Protocol: 塩水vsレモン汁vsアスコルビン酸の比較 / 真空パックによる酸素遮断"
"12,Texture / Hydrocolloids,ペクチンのゲル化メカニズム：ジャムとテリーヌの「固まる」条件,パティシエ、ガルドマンジェ。ゼラチン以外の凝固剤使いこなし。,ジャムの歴史 / HMペクチンとLMペクチンの構造差,エステル化度（DE値）によるゲル化網目モデル / Caイオン架橋,糖度・pH vs ジェル強度グラフ / メトキシ基含有量チャート,Protocol: フルーツジャムのpH調整（レモン汁） / カルシウムを使った低糖度ゼリー / パート・ド・フリュイ"
"13,Fermentation,乳酸発酵の制御：ザワークラウトとピクルスの微生物学,保存食担当。腐敗と発酵の境界線を見極める。,発酵の歴史 / 乳酸菌（LAB）と雑菌の生存競争,嫌気呼吸（解糖系）のパスウェイ図 / pH降下による殺菌バリア,塩分濃度vs乳酸菌増殖カーブ / pH推移グラフ,Protocol: 安全な塩分濃度（2%〜）の計算 / 温度管理と発酵期間の目安 / 表面の白い膜（産膜酵母）の処理"
"14,Protein / Fish,死後硬直とATP分解：魚の「熟成（Aging）」におけるイノシン酸生成,寿司職人、魚担当。鮮度至上主義からの脱却と旨味のピーク。,活け締めの科学 / ATPからイノシン酸（IMP）への分解経路,ATP分解酵素の働き図解 / 筋繊維の崩壊（軟化）プロセス,時間経過vsイノシン酸含有量グラフ（K値） / 硬直指数の推移,Protocol: 魚種別エイジング期間（白身vs赤身） / 神経締めの有無による熟成差 / ドリップ処理"
"15,Heat Transfer / Sous-vide,真空調理 (Sous-vide) の熱力学：空気断熱の排除と精密温度管理,モダンフレンチ、大量調理。均一な火入れと衛生管理。,真空調理の歴史（ジョルジュ・プラリュ） / 殺菌（Pasteurization）の定義,熱伝達率（h）の比較図（水vs空気） / ポリ袋内の圧着効果,殺菌のD値・z値チャート / 温度・時間による食中毒菌死滅曲線,Protocol: 58℃・63℃・68℃の使い分け / 2段階加熱による殺菌と食感の両立 / 危険温度帯の回避"
"16,Carbohydrate / Sugar,砂糖の熱分解と結晶化：フォンダン、キャラメル、飴細工の相図,パティシエ。砂糖の温度帯による状態変化の制御。,砂糖の歴史 / スクロースの分子構造と過飽和溶液,結晶核の形成と成長モデル / 転化糖（インベルターゼ）による抑制,温度vs砂糖の状態変化チャート（糸引き〜カラメル化） / 溶解度曲線,Protocol: 結晶化を防ぐ刷毛の使い方 / シロップの煮詰め温度一覧 / 転化糖の添加量"
"17,Flavor / Taste,味の相互作用 (Taste Interaction)：抑制・対比・相乗効果の生理学,メニュー開発者。味のバランス調整と隠し味の論理。,味覚受容体の進化 / 5基本味のシグナル伝達,味の相互作用マトリクス（甘味×酸味、旨味×塩味など） / 閾値概念図,塩分濃度と旨味の相乗効果グラフ / 酸味による塩味抑制データ,Protocol: スイカに塩（対比） / 酢飯の砂糖と塩（抑制） / 昆布と鰹（相乗）の黄金比"
"18,Vegetable / Pigment,クロロフィルの退色防止：緑色野菜を鮮やかに茹でるpHと酵素の戦い,全料理人。野菜の色止めテクニック。,光合成と色素 / クロロフィルa/bの構造とマグネシウムイオン,酸によるフェオフィチン化（褐変）モデル / 酵素クロロフィラーゼの働き,pH・温度vs色彩値（Lab色空間）グラフ / 茹で時間と色素残存率,Protocol: 重曹茹で（アルカリ）のメリット・デメリット / 銅鍋の効果（銅クロロフィル） / 色止めのための急冷（ショック）"
"19,Vegetable / Pigment,アントシアニンのpH変色：赤キャベツとナスの色を操るイオン化学,全料理人。紫・赤・青の色彩コントロール。,植物色素の役割 / アントシアニンのベンゼン環構造変化,pHによる構造変化図（フラビリウムイオン〜カルビノール塩基）,pH値ごとのカラーチャート（赤〜紫〜青〜緑） / 金属錯体の安定性,Protocol: 赤キャベツのマリネ（酸で鮮赤） / ナスの色止め（鉄・ミョウバンのキレート結合）"
"20,Physics / Tool,電子レンジの誘電加熱 (Dielectric Heating)：マイクロ波が「内側から」温める嘘と真実,全料理人。レンジの特性理解とムラのない加熱。,レーダー技術からの転用 / 水分子の双極子回転モーメント,電磁波の浸透深度モデル / 定在波による加熱ムラ発生原理,水分量・塩分量vs昇温速度グラフ / 誘電損失係数の比較,Protocol: レンジで野菜を茹でる際の水分量 / 爆発を防ぐ配置 / 解凍における「ドリップ最小化」出力設定"
"21,Texture / Meat,肉の保水性 (WHC) とpHの関係：なぜマリネした肉は柔らかいが焦げないのか,肉担当。ジューシーな肉を焼くための前処理。,筋肉の等電点（pI）理論 / タンパク質の電荷と水分子の結合,筋原繊維の膨潤・収縮モデル（pH依存性） / ミオシンの格子間隔変化,pH vs 保水力（U字カーブ） / 塩分濃度による等電点シフト,Protocol: 重曹マリネによる保水力向上 / 酸マリネの限界と中和処理 / ブライン液のpH調整"
"22,Carbohydrate / Flour,グルテンの形成と阻害：パン、うどん、天ぷら衣の「コシ」の制御,ベーカリー、揚げ場。グルテンを出したい時・消したい時。,小麦の歴史 / グリアジンとグルテニンのジスルフィド結合,グルテンネットワーク形成図 / 脂質・糖による阻害メカニズム,こねる時間vs生地強度グラフ / 水分量とグルテン形成率,Protocol: 天ぷら衣を冷やす・混ぜすぎない理由 / パン生地のオートリーズ法 / 打ち粉の役割"
"23,Texture / Gel,ゼラチン・寒天・カラギーナンの使い分け：ゲルの融点と離水特性,パティシエ、冷場。目的に応じた凝固剤の選定。,各凝固剤の起源（動物・海藻） / 分子構造とゲル化ネットワークの違い,温度ヒステリシス（溶解温度と凝固温度）の比較図 / 離水（シネレシス）モデル,各ゲルの融点・凝固点比較チャート / テクスチャ（弾力・脆さ）マップ,Protocol: パイナップルゼリーで失敗しない法（酵素失活） / 口溶けの良いゼラチン濃度 / 温かいゼリー（アガー）"
"24,Flavor / Smoke,燻製の化学：リグニン・セルロースの熱分解とフェノール類の防腐・着香,シャルキュトリ担当。スモークの香りと保存性。,燻製の歴史と保存食 / 木材成分（リグニン、セルロース）の熱分解,煙の成分（フェノール、カルボニル、酸）の吸着モデル / メイラード反応との複合,温度別生成成分グラフ（300-400℃） / 燻煙時間とフェノール浸透度,Protocol: 冷燻・温燻・熱燻の使い分け / 樹種（チップ）による香りの違い / 燻製前の乾燥（ドライング）の重要性"
"25,Protein / Dairy,チーズの溶融性と分離：エマルジョンとしてのチーズソース科学,ピザ、パスタ担当。分離しない滑らかなチーズソース。,レンネット凝固と酸凝固の違い / カゼインミセルの構造とCa架橋,加熱による脂肪球の融解とタンパク質マトリクスの崩壊図 / 乳化塩（クエン酸Na）の働き,pH・熟成期間vs溶融性グラフ / カルシウム含有量と糸引き性,Protocol: フォンデュの分離を防ぐコーンスターチ（澱粉） / クエン酸ナトリウムで作る「溶けるチーズ」 / 温度管理"
"26,Vegetable / Texture,野菜の硬化と軟化：ペクチンのβ脱離とカルシウム架橋,煮物担当。煮崩れ防止と柔らかさの制御。,細胞壁構造（セルロース・ヘミセルロース・ペクチン） / ペクチンの種類,酸・アルカリによる分解メカニズム図 / Caイオンによる「エッグボックス」架橋,pH・温度vsペクチン分解速度グラフ / 塩分濃度の影響,Protocol: 煮崩れ防止の「塩茹で・カルシウム添加」 / 重曹を使った超軟化（とろける野菜） / 50℃洗いの原理"
"27,Physics / Tool,IH（誘導加熱）の物理学：渦電流と表皮効果による鍋底の発熱分布,全料理人。IHの特性理解と適切な鍋選び。,電磁誘導の発見 / 渦電流（Eddy Current）によるジュール熱,磁力線と鍋底の抵抗モデル / 多層鍋の熱拡散の仕組み,周波数と浸透深さのグラフ / 鍋材質による効率比較,Protocol: IHで「煽り」が非効率な理由 / 焦げ付きやすいドーナツ状の熱分布対策 / 適切な鍋底の厚さ"
"28,Lipid / Emulsion,バターの結晶構造とテンパリング：パイ生地とクロワッサンの層を作る物理,ベーカリー、パティシエ。可塑性（Plasticity）の維持。,乳脂肪のトリグリセリド組成 / 固体脂指数（SFC）,結晶多形（α, β', β）の転移モデル / ラミネーション（層形成）の原理,温度vs固体脂比率グラフ（SFCカーブ） / 融点範囲,Protocol: バターが割れない・溶けない適温帯（13-18℃） / デトランプとの硬さ合わせ / バターの水分除去"
"29,Fermentation / Alcohol,アルコール調理の残留度：フランベと煮切りでアルコールは消えるのか,全料理人。アルコールの風味付けと除去の真実。,蒸留と共沸の原理 / エタノールの沸点と揮発性,表面積と揮発速度の関係図 / フランベの燃焼メカニズム,調理法・時間別アルコール残存率データ（USDA基準） / 共沸混合物の沸点図,Protocol: フランベの効果は「香り付け」か「アルコール除去」か / 煮切りみりんの正しい作り方 / 酔わないソース作り"
"30,Protein / Enzyme,プロテアーゼの活用：パイナップル、舞茸、麹による肉の軟化術,肉担当。安い肉を柔らかくする酵素の力。,タンパク質分解酵素の種類（パパイン、ブロメライン、カルパイン） / 酵素反応速度論,酵素の基質特異性（筋原繊維vs結合組織）モデル / 過剰反応による食感崩壊,温度・pH vs 酵素活性グラフ / 浸透深度と時間の関係,Protocol: 舞茸ペーストの漬け込み時間 / キウイ・パイナップルの使い分け / 酵素入りマリネの加熱失活"
"31,Carbohydrate / Potato,ジャガイモの品種と調理適性：デンプン価と細胞接着性による「粉質・粘質」の分類,付け合わせ、フライ担当。マッシュポテト、フライドポテトの最適化。,ジャガイモの原産地と品種改良 / デンプン粒子の大きさとアミロース比率,細胞間のペクチン接着強度モデル / 「崩れる」vs「ねっとり」の構造差,比重（デンプン価）vs調理適性マトリクス / 糖化（低温保存）の影響グラフ,Protocol: 男爵（粉質）とメークイン（粘質）の使い分け / 究極のフライドポテト（2度揚げ・冷凍） / 理想のマッシュポテト（糊化させない）"
"32,Flavor / Umami,旨味の相乗効果 (Umami Synergy)：グルタミン酸とイノシン酸の受容体メカニズム,出汁場、ソース担当。出汁の配合論理。,池田菊苗の発見と旨味の定義 / 旨味受容体（T1R1/T1R3）の構造,ヴィーナスフライトラップ型受容体の閉鎖モデル / 1+1=7の強度変化,混合比率vs旨味強度曲線 / 熟成による遊離アミノ酸増加データ,Protocol: 昆布と鰹節の黄金比 / トマトとチーズの組み合わせ / 熟成肉とキノコのソース"
"33,Physics / Temperature,余熱調理 (Carry-over Cooking) の熱力学：オーブンから出した後の肉内部の温度上昇,肉担当。焼き上がりの見極め精度向上。,熱平衡の法則 / 伝熱方程式と温度勾配,肉内部の温度分布モデル（表面高温・中心低温） / 静置（Resting）中の熱移動,肉の厚さ・調理温度vs余熱上昇幅グラフ / アルミホイルの効果,Protocol: ステーキのレスティング時間（厚さ1cmあたり何分？） / 中心温度計を刺すタイミング / 余熱を見越した引き上げ温度"
"34,Texture / Foam,メレンゲと泡の安定性：卵白の起泡性と安定性を分ける物理化学,パティシエ。シフォンケーキ、マカロンの成功率向上。,気泡の形成原理 / 卵白タンパク質（グロブリン・オボムチン）の界面変性,表面張力とラプラス圧モデル / 砂糖・酸・油脂の影響,pH・砂糖添加時期vs泡の安定性グラフ / オーバーラン（空気含有率）,Protocol: 砂糖を数回に分けて入れる理由 / 銅ボウルの効果（オボトランスフェリン） / 老化した卵白の起泡性"
"35,Vegetable / Enzyme,ニンニク・玉ねぎの香り生成：アリイナーゼによる細胞破壊とフレーバー発現,全料理人。香味野菜の扱い方。,植物の防御機構としての香り / 前駆体（アリイン）と酵素の隔離,細胞破壊による酵素反応（アリシン生成）図解 / 油への香り移りメカニズム,破壊度（切り方）vs香り強度データ / 加熱による酵素失活温度,Protocol: すりおろしvs微塵切りvsスライスの使い分け / アーリオ・オーリオの低温加熱 / 生食時の辛味抜き"
"36,Carbohydrate / Rice,米の吸水と炊飯科学：浸漬時間と沸騰維持がもたらす「蟹の穴」,和食、米担当。ふっくらしたご飯の炊き方。,米の構造（胚乳・糊粉層）と精米 / デンプンの糊化特性,吸水プロセス（拡散）モデル / 沸騰時の対流と「蟹の穴」形成原理,浸漬水温vs吸水速度グラフ / 加熱曲線（はじめチョロチョロ...の検証）,Protocol: 夏と冬の浸漬時間調整 / 土鍋炊飯の火加減プロトコル / 蒸らしの重要性（水分均一化）"
"37,Lipid / Fry,揚げ物の吸油メカニズム：衣の水分蒸発と油の置換現象,揚げ場担当。油っぽくない天ぷら・フライ。,揚げ物の熱移動と物質移動 / 水分蒸発（気泡）による内圧,冷却時の減圧による吸油（オイル・アップテイク）モデル / 衣の構造と毛細管現象,油温・衣の水分量vs吸油率グラフ / 界面活性剤の影響,Protocol: 揚げ上がり直後の油切りの衝撃（振動） / 2度揚げによる水分制御 / バッター液の粘度調整"
"38,Protein / Gel,茶碗蒸しとプリンの「す」：凝固温度帯と気泡の熱膨張,和食、パティシエ。滑らかなゲルを作る。,卵液のゲル化温度帯 / 気体の熱膨張（シャルルの法則）,急激な加熱による局所的沸騰と「す（空洞）」の形成モデル / 塩分イオンの影響,加熱温度・昇温速度vs「す」の発生率グラフ / 凝固剤濃度と硬さ,Protocol: 蒸し器の蓋をずらす理由（温度管理） / 卵液の脱気（泡切り） / 比熱容量を考慮した加熱時間"
"39,Preservation / Salt,塩による脱水と防腐：浸透圧による自由水の制御と微生物抑制,保存食担当。塩漬け、生ハム、漬物。,水分活性（Aw）と微生物の生育限界 / 半透膜と浸透圧,細胞からの脱水と原形質分離モデル / 塩の拡散と平衡,塩分濃度vs水分活性低下グラフ / 各菌の耐塩性チャート,Protocol: 魚の振り塩（臭み抜き）の時間 / 野菜の塩揉みの塩分量 / 長期保存のための塩分濃度設計"
"40,Flavor / Spice,スパイスのブルーミング (Blooming)：油で熱して香りを引き出す脂溶性原理,カレー、スパイス料理担当。スパイスの香りの最大化。,スパイスの精油成分（テルペン類など） / 脂溶性と水溶性の違い,油への成分溶出（抽出）モデル / メイラード反応との競合,加熱温度・時間vs香気成分残存量グラフ / 揮発速度,Protocol: ホールスパイスのスターター（テンパリング） / パウダースパイスの後入れ理由 / 乾煎り（ロースト）の効果"
"41,Texture / Meat,ハンバーグの結着理論：塩によるミオシンの溶解と網目構造形成,洋食、肉担当。肉汁を逃さないパテ作り。,塩溶性タンパク質（ミオシン）の性質 / ひき肉の構造,塩練りによるゾル→ゲル転移モデル / 脂肪の乳化と包摂,塩分添加量・練り温度vs結着強度グラフ / 脂肪含有量の影響,Protocol: 塩を入れてから練るタイミング / 手の温度による脂溶け防止（氷水） / つなぎ（パン粉・卵）の保水効果"
"42,Carbohydrate / Pasta,パスタの茹で汁と乳化 (Mantecatura)：澱粉の溶出とソースの粘度調整,パスタ担当。ソースと麺の一体化。,デュラムセモリナ粉のタンパク質と澱粉 / 茹で汁への澱粉溶出,ソース中の油と水をつなぐ澱粉粒子の役割図 / 界面安定化メカニズム,茹で時間・水量vs茹で汁の澱粉濃度グラフ / 塩分による澱粉溶出抑制,Protocol: 茹で汁（スチロ）の適切な濃度管理 / ソースと合わせる時の激しい攪拌 / 仕上げのオイル添加"
"43,Protein / Seafood,海老・イカのプリプリ感と加熱：筋原繊維の収縮と硬化スピード,魚介担当。硬くさせない火入れ。,甲殻類・頭足類の筋肉構造（横紋筋・平滑筋） / コラーゲン含有量の少なさ,加熱による急激な筋収縮と脱水モデル / 透明から白濁への変化,中心温度vs剪断力（硬さ）グラフ / 加熱時間と収縮率,Protocol: 余熱だけで火を通す海老のボイル法 / イカの隠し包丁の物理的効果 / 重曹水による保水処理"
"44,Physics / Tool,炭火焼きの赤外線効果：遠赤外線による輻射熱と表面の乾燥,焼き場担当。ガス火と炭火の焼き上がりの違い。,熱放射の基礎（ステファン・ボルツマンの法則） / 遠赤外線の吸収特性,食品表面での熱吸収と内部伝熱モデル / ガス燃焼による水蒸気発生の影響,熱源温度vs放射エネルギー分布グラフ / 水分蒸発速度比較,Protocol: 炭の配置による強火・遠火の調整 / 脂が落ちた煙（燻煙）の効果 / 表面パリッ・中ジューシーの実現"
"45,Vegetable / Texture,野菜の「50℃洗い」のヒートショック：気孔の開閉と細胞の吸水メカニズム,下処理担当。しなびた野菜の復活。,植物細胞の水分収支（蒸散と吸水） / ヒートショックプロテイン（HSP）,50℃における気孔の開口と細胞膜の透過性モデル / ペクチンの硬化,水温vs吸水速度・重量変化グラフ / 菌数の減少データ,Protocol: 葉物野菜、根菜、肉ごとの最適温度と時間 / 洗い終わった後の冷水締めの是非 / 保存性の向上"
"46,Flavor / Coffee,コーヒーの抽出変数：粒度・湯温・時間が味のバランスを決める,バリスタ、デザート担当。理想のコーヒー抽出。,焙煎による可溶性成分の生成 / 抽出の物理（溶解・拡散・濾過）,過抽出（Over）と未抽出（Under）の成分溶出モデル / 微粉の影響,抽出収率vsTDS（濃度）チャート（ブリューイングチャート） / 粒度分布,Protocol: メッシュ（粒度）調整による味の補正 / 蒸らし（Blueing）のガス抜き効果 / 攪拌（Agitation）の影響"
"47,Carbohydrate / Sweet,チョコレートの結晶化 (Tempering)：カカオバターの多形現象と口溶け,ショコラティエ。艶とスナップのあるチョコ。,カカオバターのトリグリセリド構造 / 結晶多形（Form I〜VI）の性質,テンパリング温度曲線（融解・冷却・再加熱）と結晶成長モデル / V型結晶の安定性,温度vs結晶型形成領域図 / ブルーム現象（ファット・シュガー）,Protocol: タブリング法とシーディング法の違い / 失敗したチョコのリカバリー / 水分厳禁の理由"
"48,Protein / Legume,豆の吸水と煮えムラ：種皮の透過性とカルシウム・酸の影響,煮物、製菓担当。ふっくらした豆を煮る。,種子の構造（種皮・子葉）と休眠 / 貯蔵物質（デンプン・タンパク質）,吸水経路（珠孔・種皮）モデル / 硬水（Ca/Mg）によるペクチン架橋（硬化）,浸漬時間・水温vs吸水率グラフ / pHによる軟化速度変化,Protocol: 重曹による軟化促進 / 砂糖・塩を入れるタイミング（浸透圧と硬化） / びっくり水（差し水）の効果"
"49,Lipid / Emulsion,ヴィネグレットの不安定性：一時的乳化と安定化のテクニック,ガルドマンジェ。分離しないドレッシング。,界面張力と表面積 / 乳化剤を含まない系（Do not emulate）の挙動,油滴の合一（Coalescence）と分離（Creaming）モデル / マスタードの粒子安定化,攪拌強度vs分離までの時間グラフ / 粘度による安定化,Protocol: マスタードやハチミツを乳化助剤にする / オイルを少しずつ加える物理的理由 / ブレンダーの使用"
"50,Physics / Freeze,急速冷凍と氷結晶のサイズ：細胞破壊を防ぐ「最大氷結晶生成帯」の通過速度,冷凍保存担当。解凍してもドリップが出ない冷凍。,水の凍結プロセス（過冷却・核形成・結晶成長） / 細胞壁の損傷,緩慢冷凍（大結晶）vs急速冷凍（微細結晶）の細胞破壊モデル / 溶質濃縮効果,温度降下曲線と最大氷結晶生成帯（-1℃〜-5℃） / ドリップ量比較,Protocol: 金属トレイとアルコール凍結（リキッドフリーザー）の活用 / 小分け・薄く広げる理由 / 解凍法の最適解（冷蔵庫解凍vs流水）"
"51,Chemical Reaction,キャラメリゼの温度帯：165℃からの糖の熱分解と風味の変化,パティシエ。正確なキャラメル作り。,糖の熱分解反応経路 / 脱水・縮合・断片化,各温度帯（糸引き〜ハードクラック〜カラメル）の状態モデル / pHの影響,温度vs色度・苦味成分量グラフ / 転化糖の影響,Protocol: 水あり加熱vs水なし加熱（ドライ）の違い / 色止め（デグラッセ）のタイミング / 鍋の余熱考慮"
"52,Flavor / Sound,食感の音響学 (Gastrophysics)：パリパリ・サクサク音が美味しさを増幅する,メニュー開発。食感（テクスチャ）の設計。,マルチモーダル知覚（五感の相互作用） / 骨伝導と気導音,破砕音の周波数解析モデル（Crispy vs Crunchy） / 水分活性とガラス転移点,音の大きさ・高周波成分vs鮮度・美味しさ評価グラフ / 湿気による音の変化,Protocol: 衣の配合による音のチューニング / パートフィロやライスペーパーの活用 / 提供直前の仕上げ"
"53,Protein / Acid,魚の酢締めとタンパク質変性：pHによる殺菌と食感の変化（シメサバの科学）,寿司、和食。完璧な締め具合。,酸変性（Acid Denaturation）のメカニズム / 寄生虫（アニサキス）への効果,酸の浸透とタンパク質の白濁（凝固）モデル / 保水性の変化,pH・時間vs酸の浸透深度グラフ / 殺菌効果データ,Protocol: 塩締め（脱水）と酢締め（変性）の工程分離 / 砂糖を加えた甘酢の浸透圧緩和 / 締め時間の計算"
"54,Vegetable / Fruit,エチレンガスと追熟 (Ripening)：クライマクテリック型果実の制御,青果管理。フルーツの食べ頃管理。,植物ホルモン（エチレン）の働き / クライマクテリック型と非クライマクテリック型,呼吸量の増大と細胞壁分解（軟化）モデル / 糖度上昇メカニズム,エチレン濃度・温度vs追熟速度グラフ / 貯蔵寿命データ,Protocol: リンゴとバナナの混載効果 / 追熟を止める低温管理 / アボカドを早く熟させる方法"
"55,Physics / Tool,圧力鍋の熱力学：沸点上昇による時短調理とメイラード反応の可能性,煮込み担当。圧力鍋の使いこなし。,蒸気圧曲線と沸点上昇の原理 / アントワーヌの式,高温高圧下でのコラーゲン分解モデル / 密閉環境でのメイラード反応（重曹添加）,圧力（kPa）vs沸点温度グラフ / 調理時間短縮率,Protocol: 加圧終了後の自然放置（余熱）vs急冷 / 重曹を入れた「キャラメリゼ・スープ」 / 豆の皮が破れる原因"
"56,Lipid / Conf,コンフィ (Confit) の保存性と熱伝達：油煮による水分置換と殺菌,フレンチ。保存食としてのコンフィ。,油脂による酸素遮断と水分活性の低下 / ボツリヌス菌のリスク管理,低温長時間加熱によるコラーゲン崩壊と保水モデル / 毛細管現象による油の浸透,中心温度維持時間vs殺菌レベルチャート / 水分蒸発率,Protocol: マリネ（塩漬け）の重要性 / 70℃〜80℃の温度維持 / 冷蔵保存時の油の膜"
"57,Carbohydrate / Thickener,水溶き片栗粉の粘度科学：ダマにならない温度帯と撹拌,中華、和食。とろみ付けの失敗回避。,澱粉粒子の糊化温度と崩壊 / アミロースの流出,ダマ（ままこ）の形成モデル（表面糊化・内部未吸水） / 剪断速度と粘度（チキソトロピー）,温度vs粘度カーブ（ピーク粘度とブレークダウン） / 離水（老化・酵素分解）,Protocol: 一度火を止める・煮立たせる理由 / 水：粉の黄金比 / 唾液（アミラーゼ）による離水防止"
"58,Protein / Enzymes,熟成肉 (Dry Aging) の微生物学：酵素分解と脱水による旨味凝縮,肉担当。ドライエイジングの管理。,死後硬直解除後の自己消化 / カビ・酵母の役割,プロテアーゼによるタンパク質分解（ペプチド・アミノ酸生成）図解 / 自由水の蒸発と表面硬化,熟成期間vsアミノ酸増加量グラフ / 水分活性低下と歩留まり,Protocol: 温度・湿度・風速の管理基準 / 表面のトリミング（除去）ロス計算 / 家庭での危険性と代替法（脱水シート）"
"59,Flavor / Extraction,出汁の抽出と水質 (Water Hardness)：軟水と硬水が昆布・鰹節・珈琲に与える影響,和食、バリスタ。水による味の違い。,水の硬度（Ca/Mgイオン濃度）の定義 / ミネラルの架橋作用,昆布のアルギン酸・ペクチンとCaの結合（抽出阻害）モデル / 鰹節のイノシン酸抽出への影響,硬度vsグルタミン酸抽出量グラフ / 珈琲の酸味・苦味の変化,Protocol: 和食に軟水・洋風煮込みに硬水を選ぶ理由 / ミネラルウォーターの使い分け / 昆布出汁の低温抽出（60℃）"
